1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add content type,4,add_contenttype
14,Can change content type,4,change_contenttype
15,Can delete content type,4,delete_contenttype
16,Can view content type,4,view_contenttype
17,Can add session,5,add_session
18,Can change session,5,change_session
19,Can delete session,5,delete_session
20,Can view session,5,view_session
21,Can add site,6,add_site
22,Can change site,6,change_site
23,Can delete site,6,delete_site
24,Can view site,6,view_site
25,Can add user,7,add_user
26,Can change user,7,change_user
27,Can delete user,7,delete_user
28,Can view user,7,view_user
29,Can add artifact,8,add_artifact
30,Can change artifact,8,change_artifact
31,Can delete artifact,8,delete_artifact
32,Can view artifact,8,view_artifact
33,Can add Token,9,add_token
34,Can change Token,9,change_token
35,Can delete Token,9,delete_token
36,Can view Token,9,view_token
37,Can add token,10,add_tokenproxy
38,Can change token,10,change_tokenproxy
39,Can delete token,10,delete_tokenproxy
40,Can view token,10,view_tokenproxy
41,Can add email address,11,add_emailaddress
42,Can change email address,11,change_emailaddress
43,Can delete email address,11,delete_emailaddress
44,Can view email address,11,view_emailaddress
45,Can add email confirmation,12,add_emailconfirmation
46,Can change email confirmation,12,change_emailconfirmation
47,Can delete email confirmation,12,delete_emailconfirmation
48,Can view email confirmation,12,view_emailconfirmation
49,Can add social account,13,add_socialaccount
50,Can change social account,13,change_socialaccount
51,Can delete social account,13,delete_socialaccount
52,Can view social account,13,view_socialaccount
53,Can add social application,14,add_socialapp
54,Can change social application,14,change_socialapp
55,Can delete social application,14,delete_socialapp
56,Can view social application,14,view_socialapp
57,Can add social application token,15,add_socialtoken
58,Can change social application token,15,change_socialtoken
59,Can delete social application token,15,delete_socialtoken
60,Can view social application token,15,view_socialtoken
61,Can add main artifact,16,add_mainartifact
62,Can change main artifact,16,change_mainartifact
63,Can delete main artifact,16,delete_mainartifact
64,Can view main artifact,16,view_mainartifact
65,Can add artifact detail,17,add_artifactdetail
66,Can change artifact detail,17,change_artifactdetail
67,Can delete artifact detail,17,delete_artifactdetail
68,Can view artifact detail,17,view_artifactdetail
69,Can add recommended artifact,18,add_recommendedartifact
70,Can change recommended artifact,18,change_recommendedartifact
71,Can delete recommended artifact,18,delete_recommendedartifact
72,Can view recommended artifact,18,view_recommendedartifact
